Date,Keyword,Category,Placement,Impressions,Clicks,CTR (%),Avg Session Length (sec),Retention Rate (%),Notes
2025-10-16,blind spots,Primary,Title / Short Description,,,,,,
2025-10-16,clarity,Primary,Title / Description,,,,,,
2025-10-16,reflection,Primary,Description / Tags,,,,,,
2025-10-16,decision-making,Primary,Tags / Description,,,,,,
2025-10-16,challenge my thinking,Tertiary,Conversation Starters,,,,,,
2025-10-16,stress test my plan,Tertiary,Conversation Starters,,,,,,
2025-10-16,see what Iâ€™m missing,Tertiary,Description / Starters,,,,,,
2025-10-16,find clarity,Tertiary,Description / Starters,,,,,,
2025-10-16,before I decide,Tertiary,Description / Starters,,,,,,
2025-10-16,relationships,Secondary,Description / Starters,,,,,,
2025-10-16,strategy,Secondary,Description / Tags,,,,,,
2025-10-16,productivity,Secondary,Tags,,,,,,
2025-10-16,life decisions,Secondary,Description / Starters,,,,,,
